ID;EXTERNAL_CODE;EXTERNAL_ID;NAME;FEATURES;PRICE;BARCODE;VENDOR_CODE;NDS;PAYMENT_SUBJECT;GROUP;UNIT_CODE;PURCHASE_PRICE;WEIGHTED;ALCOHOL;GTIN;MARK_TYPE;GROUPED;CONTAINER;MODIFIERS;INGREDIENTS;GOOD_TYPE;CONTRACTOR_INN;CONTRACTOR_ACTIVITY_TYPE;COUNTY_CODE;CUSTOM_DECLARATION;PLU_CODE;ORG_MEMBER_POINTS
;3279036;; Капуста ФЭГ по-грузински 1000г;;56.7;;;;1;;796;54.0;;;;0;;;;;DEFAULT;;;;;;
;3279035;; Огурцы  ФЭГ соленые 1000г;;111.52;;;;1;;796;71.15;;;;0;;;;;DEFAULT;;;;;;
;3279034;; Огурцы ФЭГ малосольные  1000г;;259.03;;;;1;;796;185.41;;;;0;;;;;DEFAULT;;;;;;
;3268581;;Абрикосы  РАЭ в желе 150г;;40.91;;;;1;;796;32.21;;;;0;;;;;DEFAULT;;;;;;
;3283409;;Абрикосы Lorado полов.легком/сиропе 410г;;87.17;;;;1;;796;83.01;;;;0;;;;;DEFAULT;;;;;;
;3066025;;Абрикосы Дары Природы сушеные 150г;;181.47;;;;1;;796;124.54;;;;0;;;;;DEFAULT;;;;;;
;2011297;;Авокадо 0,6-0,8кг фас;;596.11;;;;1;;796;567.72;;;;0;;;;;DEFAULT;;;;;;
;3143993;;Аджика Главпродукт Кавказкая 170г;;37.81;;;;1;;796;26.09;;;;0;;;;;DEFAULT;;;;;;
;3246954;;Аджика Лукашинские Хренодер с хреном460г;;110.95;;;;1;;796;71.23;;;;0;;;;;DEFAULT;;;;;;
;3158671;;Аджика ФЭГ по-домашнему 200г;;64.56;;;;1;;796;49.06;;;;0;;;;;DEFAULT;;;;;;
;3184280;;Азу Индолина инд.охл.ГЗС 700г шт;;291.42;;;;1;;796;232.92;;;;0;;;;;DEFAULT;;;;;;
;3081224;;Азу Калужский фермер говядина охл.450г;;311.98;;;;1;;796;242.09;;;;0;;;;;DEFAULT;;;;;;
;3245697;;Азу Фермер.урожай из говяд.охлаж.500г;;386.96;;;;1;;796;302.51;;;;0;;;;;DEFAULT;;;;;;
;2011298;;Айва 0,8-1,2кг фас;;258.61;;;;1;;796;246.29;;;;0;;;;;DEFAULT;;;;;;
;3237922;;Айраннор Эдельвейс кисломол.нап1,0% 0,5л;;28.64;;;;1;;796;22.52;;;;0;;;;;DEFAULT;;;;;;
;2002819;;Ананас Gold 1,3-2,4кг фас;;191.1;;;;1;;796;142.84;;;;0;;;;;DEFAULT;;;;;;
;3067540;;Ананас Lorado кусоч.в легком сиропе 565г;;131.45;;;;1;;796;93.28;;;;0;;;;;DEFAULT;;;;;;
;3067539;;Ананас Lorado шайбы в легком сиропе 565г;;135.4;;;;1;;796;98.11;;;;0;;;;;DEFAULT;;;;;;
;3067191;;Ананасы Ск-Самобр.кусочки в сиропе 565г;;106.62;;;;1;;796;72.21;;;;0;;;;;DEFAULT;;;;;;
;3075174;;Антрекот Калужский фермер гов.охлаж.450г;;356.38;;;;1;;796;268.32;;;;0;;;;;DEFAULT;;;;;;
;3245643;;Антрекот Ферм.урожай из говядины 450г;;377.9;;;;1;;796;302.5;;;;0;;;;;DEFAULT;;;;;;
;2011311;;Апельсины 2,3-2,5кг фас;;101.1;;;;1;;796;89.41;;;;0;;;;;DEFAULT;;;;;;
;2011312;;Апельсины для сока 2,5-2,8кг фас;;95.4;;;;1;;796;90.85;;;;0;;;;;DEFAULT;;;;;;
;2011319;;Апельсины крупные 2,0-2,3кг фас;;134.29;;;;1;;796;97.73;;;;0;;;;;DEFAULT;;;;;;
;3283453;;Арахис Vivanut жареный соленый 300г;;75.62;;;;1;;796;72.01;;;;0;;;;;DEFAULT;;;;;;
;3065923;;Арахис Джаз жареный соленый 300г;;174.22;;;;1;;796;110.43;;;;0;;;;;DEFAULT;;;;;;
;3065950;;Арахис Джаз жареный соленый 40г;;25.19;;;;1;;796;18.0;;;;0;;;;;DEFAULT;;;;;;
;3179518;;Асс.Дымов кол.Пеп.+Сал.ит.с/к нар.ГЗС90г;;135.04;;;;1;;796;100.41;;;;0;;;;;DEFAULT;;;;;;
;3060187;;Ассорти 6 соток томаты/ огурцы 680г;;141.34;;;;1;;796;88.79;;;;0;;;;;DEFAULT;;;;;;
;3261960;;Ассорти компот.Hortex с клубникой 300г;;96.43;;;;1;;796;69.99;;;;0;;;;;DEFAULT;;;;;;
;2012246;;Ассорти Петелинка из цыпл.бройл0,8-1,2кг;;173.85;;;;1;;796;165.57;;;;0;;;;;DEFAULT;;;;;;
;3107698;;Ассорти Ск-Самобр.черри+корнишоны 680г;;122.79;;;;1;;796;91.84;;;;0;;;;;DEFAULT;;;;;;
;3064330;;Ацидофилин Добряна Останкин.2,5% 210г;;28.58;;;;1;;796;22.58;;;;0;;;;;DEFAULT;;;;;;
;3064094;;Ацидофилин Останкинский 2,5% 450г;;54.82;;;;1;;796;42.39;;;;0;;;;;DEFAULT;;;;;;
